truck_id,date,region,status,distance_km,fuel_consumed_l,load_kg,avg_speed_kmh,stops_completed,trip_duration_min
TRK-UPP-01,2026-01-04,Upper Egypt,Completed,34.3,14.3,6613,31.6,10,65.1
TRK-UPP-02,2026-01-04,Upper Egypt,Completed,46.1,18.5,6276,44.2,12,62.6
TRK-UPP-03,2026-01-04,Upper Egypt,Completed,80.7,29.0,5093,19.2,24,252.2
TRK-COA-01,2026-01-04,Coastal & Red Sea,Completed,29.4,11.3,2353,29.8,16,59.2
TRK-COA-02,2026-01-04,Coastal & Red Sea,Completed,59.2,18.9,5257,32.1,8,110.7
TRK-COA-03,2026-01-04,Coastal & Red Sea,Completed,65.3,25.8,2025,36.7,20,106.8
TRK-GRE-01,2026-01-05,Greater Cairo,Completed,33.1,11.9,3691,24.0,21,82.8
TRK-GRE-02,2026-01-05,Greater Cairo,Completed,69.2,27.0,1424,32.1,11,129.3
TRK-GRE-03,2026-01-05,Greater Cairo,Completed,77.9,27.3,8603,30.5,17,153.2
TRK-GRE-04,2026-01-05,Greater Cairo,Completed,29.1,10.2,10609,35.0,22,49.9
TRK-GRE-05,2026-01-05,Greater Cairo,Completed,90.5,32.7,3856,19.6,21,277.0
TRK-DEL-01,2026-01-05,Delta,Completed,68.4,26.2,7457,18.9,18,217.1
TRK-DEL-02,2026-01-05,Delta,Completed,53.8,21.4,2393,32.4,20,99.6
TRK-DEL-03,2026-01-05,Delta,Completed,31.6,11.9,4087,20.1,9,94.3
TRK-DEL-04,2026-01-05,Delta,Completed,73.5,26.5,1815,35.0,22,126.0
TRK-CAN-01,2026-01-05,Canal & Sinai,Completed,34.0,13.1,2044,17.7,10,115.3
TRK-CAN-02,2026-01-05,Canal & Sinai,Completed,70.1,28.8,7524,24.7,8,170.3
TRK-UPP-01,2026-01-05,Upper Egypt,Completed,38.9,12.5,4234,43.0,21,54.3
TRK-UPP-02,2026-01-05,Upper Egypt,Completed,40.8,14.5,7406,38.7,20,63.3
TRK-UPP-03,2026-01-05,Upper Egypt,Completed,59.3,21.8,3303,22.9,16,155.4
TRK-COA-01,2026-01-05,Coastal & Red Sea,Completed,97.7,31.3,2312,26.9,16,217.9
TRK-COA-02,2026-01-05,Coastal & Red Sea,Fuel Anomaly,89.1,45.0,10453,15.5,13,344.9
TRK-COA-03,2026-01-05,Coastal & Red Sea,Completed,102.0,34.7,2581,15.5,12,394.8
TRK-GRE-01,2026-01-06,Greater Cairo,Completed,93.8,31.7,4110,31.8,10,177.0
TRK-GRE-02,2026-01-06,Greater Cairo,Completed,83.9,30.3,2805,27.1,14,185.8
TRK-GRE-03,2026-01-06,Greater Cairo,Completed,95.9,36.6,4809,26.2,19,219.6
TRK-GRE-04,2026-01-06,Greater Cairo,Completed,63.1,20.8,9803,33.2,20,114.0
TRK-GRE-05,2026-01-06,Greater Cairo,Completed,57.6,19.6,3821,14.1,17,245.1
TRK-DEL-01,2026-01-06,Delta,Completed,78.3,26.8,8782,21.2,19,221.6
TRK-DEL-02,2026-01-06,Delta,Completed,97.5,38.9,1549,13.9,13,420.9
TRK-DEL-03,2026-01-06,Delta,Completed,58.2,19.2,3191,26.7,15,130.8
TRK-DEL-04,2026-01-06,Delta,Completed,80.9,33.2,1786,25.8,21,188.1
TRK-CAN-01,2026-01-06,Canal & Sinai,Completed,72.8,30.0,4698,16.8,21,260.0
TRK-CAN-02,2026-01-06,Canal & Sinai,Completed,52.2,17.6,6194,21.6,12,145.0
TRK-UPP-01,2026-01-06,Upper Egypt,Completed,58.3,18.7,7524,42.7,23,81.9
TRK-UPP-02,2026-01-06,Upper Egypt,Completed,29.0,9.7,3719,21.6,11,80.6
TRK-UPP-03,2026-01-06,Upper Egypt,Completed,53.9,20.8,7386,35.1,20,92.1
TRK-COA-01,2026-01-06,Coastal & Red Sea,Completed,50.3,18.4,2740,30.5,15,99.0
TRK-COA-02,2026-01-06,Coastal & Red Sea,Completed,56.1,21.5,7884,24.3,13,138.5
TRK-COA-03,2026-01-06,Coastal & Red Sea,Completed,59.4,19.5,1645,25.5,20,139.8
TRK-GRE-01,2026-01-07,Greater Cairo,Completed,81.9,27.8,2884,32.5,10,151.2
TRK-GRE-02,2026-01-07,Greater Cairo,Completed,34.3,11.8,2717,28.1,23,73.2
TRK-GRE-03,2026-01-07,Greater Cairo,Completed,43.1,14.7,5437,19.1,10,135.4
TRK-GRE-04,2026-01-07,Greater Cairo,Completed,84.5,33.2,7800,26.5,12,191.3
TRK-GRE-05,2026-01-07,Greater Cairo,Completed,84.7,35.1,2586,21.6,23,235.3
TRK-DEL-01,2026-01-07,Delta,Completed,45.6,17.0,7689,27.5,19,99.5
TRK-DEL-02,2026-01-07,Delta,Completed,82.7,27.9,2301,32.4,11,153.1
TRK-DEL-03,2026-01-07,Delta,Completed,92.1,31.3,2977,34.1,9,162.1
TRK-DEL-04,2026-01-07,Delta,Completed,82.2,26.7,2464,24.0,12,205.5
TRK-CAN-01,2026-01-07,Canal & Sinai,Completed,33.4,13.1,2874,23.2,24,86.4
TRK-CAN-02,2026-01-07,Canal & Sinai,Completed,36.1,14.4,10983,35.8,15,60.5
TRK-UPP-01,2026-01-07,Upper Egypt,Completed,66.5,24.1,4682,36.5,14,109.3
TRK-UPP-02,2026-01-07,Upper Egypt,Completed,82.6,33.8,6658,30.8,24,160.9
TRK-UPP-03,2026-01-07,Upper Egypt,Completed,45.6,15.6,5066,32.4,15,84.4
TRK-COA-01,2026-01-07,Coastal & Red Sea,Completed,45.0,14.9,1266,17.7,12,152.5
TRK-COA-02,2026-01-07,Coastal & Red Sea,Completed,33.3,10.9,6546,31.5,15,63.4
TRK-COA-03,2026-01-07,Coastal & Red Sea,Completed,52.0,21.6,1515,32.6,23,95.7
TRK-GRE-01,2026-01-08,Greater Cairo,Completed,59.0,20.1,4445,34.5,16,102.6
TRK-GRE-02,2026-01-08,Greater Cairo,Completed,87.7,32.2,1844,37.0,19,142.2
TRK-GRE-03,2026-01-08,Greater Cairo,Completed,58.0,21.4,9198,35.4,17,98.3
TRK-GRE-04,2026-01-08,Greater Cairo,Completed,56.4,21.2,6071,32.4,9,104.4
TRK-GRE-05,2026-01-08,Greater Cairo,Completed,97.5,35.7,3638,27.4,17,213.5
TRK-DEL-01,2026-01-08,Delta,Completed,71.0,24.9,7654,13.7,8,310.9
TRK-DEL-02,2026-01-08,Delta,Completed,104.3,38.4,1703,13.4,24,467.0
TRK-DEL-03,2026-01-08,Delta,Completed,35.3,13.8,3648,16.4,13,129.1
TRK-DEL-04,2026-01-08,Delta,Completed,90.5,33.5,1506,25.6,16,212.1
TRK-CAN-01,2026-01-08,Canal & Sinai,Completed,87.2,29.7,3731,19.7,15,265.6
TRK-CAN-02,2026-01-08,Canal & Sinai,Completed,66.9,24.9,10345,33.0,16,121.6
TRK-UPP-01,2026-01-08,Upper Egypt,Completed,91.5,34.3,6989,20.0,19,274.5
TRK-UPP-02,2026-01-08,Upper Egypt,Completed,29.5,10.3,7001,30.8,23,57.5
TRK-UPP-03,2026-01-08,Upper Egypt,Completed,89.2,29.8,3635,19.1,8,280.2
TRK-COA-01,2026-01-08,Coastal & Red Sea,Completed,54.0,20.4,2087,23.5,12,137.9
TRK-COA-02,2026-01-08,Coastal & Red Sea,Fuel Anomaly,94.8,53.6,10086,18.3,16,310.8
TRK-COA-03,2026-01-08,Coastal & Red Sea,Completed,75.3,28.0,1715,29.3,22,154.2
TRK-GRE-01,2026-01-09,Greater Cairo,Completed,81.5,27.5,3200,30.7,22,159.3
TRK-GRE-02,2026-01-09,Greater Cairo,Completed,41.7,13.7,1845,34.2,14,73.2
TRK-GRE-03,2026-01-09,Greater Cairo,Completed,61.4,19.8,7435,33.8,21,109.0
TRK-GRE-04,2026-01-09,Greater Cairo,Completed,44.0,17.9,9541,19.0,14,138.9
TRK-GRE-05,2026-01-09,Greater Cairo,Completed,83.9,30.3,2879,28.1,21,179.1
TRK-DEL-01,2026-01-09,Delta,Completed,84.2,31.7,8841,29.3,24,172.4
TRK-DEL-02,2026-01-09,Delta,Completed,51.4,19.7,2324,19.1,14,161.5
TRK-DEL-03,2026-01-09,Delta,Completed,43.3,14.9,3196,25.4,11,102.3
TRK-DEL-04,2026-01-09,Delta,Completed,34.3,11.6,1416,30.2,17,68.1
TRK-CAN-01,2026-01-09,Canal & Sinai,Completed,55.1,23.1,4619,28.9,10,114.4
TRK-CAN-02,2026-01-09,Canal & Sinai,Completed,65.0,23.7,10832,19.8,15,197.0
TRK-UPP-01,2026-01-09,Upper Egypt,Completed,89.9,36.3,3785,33.3,22,162.0
TRK-UPP-02,2026-01-09,Upper Egypt,Completed,71.1,28.0,6140,37.3,19,114.4
TRK-UPP-03,2026-01-09,Upper Egypt,Completed,44.5,17.1,6434,27.7,15,96.4
TRK-COA-01,2026-01-09,Coastal & Red Sea,Completed,82.7,30.6,2015,16.5,8,300.7
TRK-COA-02,2026-01-09,Coastal & Red Sea,Completed,69.6,24.1,6636,15.6,12,267.7
TRK-COA-03,2026-01-09,Coastal & Red Sea,Completed,107.5,41.0,2629,26.5,9,243.4
TRK-GRE-01,2026-01-10,Greater Cairo,Completed,44.0,17.0,2813,18.7,17,141.2
TRK-GRE-02,2026-01-10,Greater Cairo,Completed,98.3,41.2,1505,28.5,14,206.9
TRK-GRE-03,2026-01-10,Greater Cairo,Completed,58.7,20.5,6234,18.0,24,195.7
TRK-GRE-04,2026-01-10,Greater Cairo,Completed,53.5,21.3,6745,27.4,20,117.2
TRK-GRE-05,2026-01-10,Greater Cairo,Completed,30.2,10.3,4378,38.2,19,47.4
TRK-DEL-01,2026-01-10,Delta,Completed,33.9,14.1,5819,37.5,12,54.2
TRK-DEL-02,2026-01-10,Delta,Completed,100.2,33.4,1358,38.4,14,156.6
TRK-DEL-03,2026-01-10,Delta,Completed,66.7,25.6,3997,19.2,8,208.4
TRK-DEL-04,2026-01-10,Delta,Completed,95.0,31.3,2749,27.2,10,209.6
TRK-CAN-01,2026-01-10,Canal & Sinai,Under Maintenance,0.0,0.0,0,0.0,0,0.0
TRK-CAN-02,2026-01-10,Canal & Sinai,Completed,53.1,20.1,5525,36.7,16,86.8
TRK-UPP-01,2026-01-10,Upper Egypt,Completed,28.3,9.3,5019,26.4,18,64.3
TRK-UPP-02,2026-01-10,Upper Egypt,Completed,66.5,25.5,4185,26.9,19,148.3
TRK-UPP-03,2026-01-10,Upper Egypt,Completed,29.0,12.1,4744,44.0,14,39.5
TRK-COA-01,2026-01-10,Coastal & Red Sea,Completed,97.0,31.3,1406,21.8,18,267.0
TRK-COA-02,2026-01-10,Coastal & Red Sea,Completed,52.7,20.7,9694,29.0,20,109.0
TRK-COA-03,2026-01-10,Coastal & Red Sea,Completed,31.1,10.1,2074,18.6,19,100.3
TRK-GRE-01,2026-01-11,Greater Cairo,Completed,33.4,13.2,3865,43.6,14,46.0
TRK-GRE-02,2026-01-11,Greater Cairo,Completed,76.8,25.9,2007,26.4,14,174.5
TRK-GRE-03,2026-01-11,Greater Cairo,Completed,49.1,18.5,10278,21.6,15,136.4
TRK-GRE-04,2026-01-11,Greater Cairo,Completed,38.8,14.7,7154,36.8,10,63.3
TRK-GRE-05,2026-01-11,Greater Cairo,Completed,71.8,27.5,3378,39.4,17,109.3
TRK-DEL-01,2026-01-11,Delta,Completed,63.6,26.3,9378,32.5,17,117.4
TRK-DEL-02,2026-01-11,Delta,Completed,60.0,23.0,1801,39.3,13,91.6
TRK-DEL-03,2026-01-11,Delta,Completed,27.8,11.1,4679,41.1,16,40.6
TRK-DEL-04,2026-01-11,Delta,Completed,41.8,16.5,1494,25.2,10,99.5
TRK-CAN-01,2026-01-11,Canal & Sinai,Completed,77.6,29.0,2860,28.9,18,161.1
TRK-CAN-02,2026-01-11,Canal & Sinai,Completed,82.5,28.7,6585,37.7,13,131.3
TRK-UPP-01,2026-01-11,Upper Egypt,Completed,86.4,30.8,6349,18.2,21,284.8
TRK-UPP-02,2026-01-11,Upper Egypt,Completed,108.5,38.9,3651,29.5,20,220.7
TRK-UPP-03,2026-01-11,Upper Egypt,Completed,73.3,24.6,4619,20.1,22,218.8
TRK-COA-01,2026-01-11,Coastal & Red Sea,Completed,62.3,24.6,1911,26.0,16,143.8
TRK-COA-02,2026-01-11,Coastal & Red Sea,Fuel Anomaly,44.5,25.0,8812,18.3,15,145.9
TRK-COA-03,2026-01-11,Coastal & Red Sea,Completed,29.0,10.0,1626,25.5,16,68.2
TRK-GRE-01,2026-01-12,Greater Cairo,Completed,97.5,32.4,3810,39.1,23,149.6
TRK-GRE-02,2026-01-12,Greater Cairo,Completed,46.7,15.5,1744,27.7,23,101.2
TRK-GRE-03,2026-01-12,Greater Cairo,Completed,70.8,26.6,5009,36.5,20,116.4
TRK-GRE-04,2026-01-12,Greater Cairo,Fuel Anomaly,74.5,51.9,10808,29.9,21,149.5
TRK-GRE-05,2026-01-12,Greater Cairo,Completed,67.9,25.4,3286,23.9,12,170.5
TRK-DEL-01,2026-01-12,Delta,Completed,44.3,16.8,10165,36.1,22,73.6
TRK-DEL-02,2026-01-12,Delta,Fuel Anomaly,57.8,35.1,2206,38.4,11,90.3
TRK-DEL-03,2026-01-12,Delta,Completed,89.7,35.1,2835,43.4,19,124.0
TRK-DEL-04,2026-01-12,Delta,Completed,85.1,29.7,2166,31.0,17,164.7
TRK-CAN-01,2026-01-12,Canal & Sinai,Completed,68.1,27.2,3881,43.0,21,95.0
TRK-CAN-02,2026-01-12,Canal & Sinai,Completed,50.7,16.4,10151,29.7,24,102.4
TRK-UPP-01,2026-01-12,Upper Egypt,Fuel Anomaly,35.3,23.0,5841,30.8,11,68.8
TRK-UPP-02,2026-01-12,Upper Egypt,Completed,96.5,34.0,7532,29.7,17,194.9
TRK-UPP-03,2026-01-12,Upper Egypt,Completed,65.3,21.8,5845,35.4,10,110.7
TRK-COA-01,2026-01-12,Coastal & Red Sea,Completed,99.9,40.1,2166,29.1,12,206.0
TRK-COA-02,2026-01-12,Coastal & Red Sea,Completed,59.2,24.7,9767,13.4,16,265.1
TRK-COA-03,2026-01-12,Coastal & Red Sea,Completed,99.6,34.5,2036,32.3,24,185.0
TRK-GRE-01,2026-01-13,Greater Cairo,Completed,44.7,17.6,3720,36.4,19,73.7
TRK-GRE-02,2026-01-13,Greater Cairo,Completed,85.1,29.9,2346,23.9,10,213.6
TRK-GRE-03,2026-01-13,Greater Cairo,Completed,31.4,12.5,9598,26.8,10,70.3
TRK-GRE-04,2026-01-13,Greater Cairo,Completed,86.4,35.5,7172,23.6,21,219.7
TRK-GRE-05,2026-01-13,Greater Cairo,Completed,80.1,26.5,3703,35.1,9,136.9
TRK-DEL-01,2026-01-13,Delta,Completed,114.3,38.4,5882,27.4,21,250.3
TRK-DEL-02,2026-01-13,Delta,Completed,65.9,22.6,2011,32.8,11,120.5
TRK-DEL-03,2026-01-13,Delta,Completed,74.2,27.4,2164,18.8,14,236.8
TRK-DEL-04,2026-01-13,Delta,Completed,113.4,40.7,1325,27.2,24,250.1
TRK-CAN-01,2026-01-13,Canal & Sinai,Completed,74.7,24.7,4728,24.2,17,185.2
TRK-CAN-02,2026-01-13,Canal & Sinai,Completed,47.7,19.5,6737,25.5,19,112.2
TRK-UPP-01,2026-01-13,Upper Egypt,Completed,49.3,19.9,4278,19.5,8,151.7
TRK-UPP-02,2026-01-13,Upper Egypt,Completed,48.6,18.6,6758,17.8,9,163.8
TRK-UPP-03,2026-01-13,Upper Egypt,Completed,69.3,25.7,7190,28.1,8,148.0
TRK-COA-01,2026-01-13,Coastal & Red Sea,Completed,48.8,16.9,1829,21.1,18,138.8
TRK-COA-02,2026-01-13,Coastal & Red Sea,Completed,90.6,35.7,10283,32.4,8,167.8
TRK-COA-03,2026-01-13,Coastal & Red Sea,Completed,65.8,21.6,2296,36.8,23,107.3
TRK-GRE-01,2026-01-14,Greater Cairo,Completed,88.4,36.2,3747,28.6,16,185.5
TRK-GRE-02,2026-01-14,Greater Cairo,Completed,63.3,25.8,1762,35.3,21,107.6
TRK-GRE-03,2026-01-14,Greater Cairo,Completed,36.8,11.8,4993,43.5,10,50.8
TRK-GRE-04,2026-01-14,Greater Cairo,Completed,34.7,13.3,10689,37.7,13,55.2
TRK-GRE-05,2026-01-14,Greater Cairo,Completed,32.4,12.2,2545,41.1,14,47.3
TRK-DEL-01,2026-01-14,Delta,Completed,80.9,34.0,6099,23.3,17,208.3
TRK-DEL-02,2026-01-14,Delta,Completed,85.3,30.2,1929,27.7,14,184.8
TRK-DEL-03,2026-01-14,Delta,Completed,55.4,20.1,3762,24.8,23,134.0
TRK-DEL-04,2026-01-14,Delta,Completed,49.1,20.0,1886,19.4,19,151.9
TRK-CAN-01,2026-01-14,Canal & Sinai,Completed,68.6,26.1,3528,32.2,15,127.8
TRK-CAN-02,2026-01-14,Canal & Sinai,Completed,54.3,22.6,6941,26.8,23,121.6
TRK-UPP-01,2026-01-14,Upper Egypt,Completed,99.7,41.7,4093,32.2,22,185.8
TRK-UPP-02,2026-01-14,Upper Egypt,Completed,95.9,32.7,6070,21.8,13,263.9
TRK-UPP-03,2026-01-14,Upper Egypt,Completed,72.1,29.0,7566,15.9,12,272.1
TRK-COA-01,2026-01-14,Coastal & Red Sea,Completed,75.5,27.2,1683,43.7,21,103.7
TRK-COA-02,2026-01-14,Coastal & Red Sea,Completed,69.6,22.4,6746,34.0,22,122.8
TRK-COA-03,2026-01-14,Coastal & Red Sea,Completed,29.2,11.4,1471,29.0,19,60.4
TRK-GRE-01,2026-01-15,Greater Cairo,Completed,91.9,36.2,2701,24.2,23,227.9
TRK-GRE-02,2026-01-15,Greater Cairo,Completed,117.2,46.0,2247,23.4,20,300.5
TRK-GRE-03,2026-01-15,Greater Cairo,Completed,52.4,20.5,9102,21.4,8,146.9
TRK-GRE-04,2026-01-15,Greater Cairo,Completed,87.1,28.1,6149,23.1,13,226.2
TRK-GRE-05,2026-01-15,Greater Cairo,Completed,53.9,18.1,2199,30.6,18,105.7
TRK-DEL-01,2026-01-15,Delta,Completed,52.1,17.9,7247,34.8,11,89.8
TRK-DEL-02,2026-01-15,Delta,Completed,65.1,25.8,2741,19.2,18,203.4
TRK-DEL-03,2026-01-15,Delta,Completed,47.5,18.2,2301,15.9,14,179.2
TRK-DEL-04,2026-01-15,Delta,Completed,44.2,17.9,2550,31.3,16,84.7
TRK-CAN-01,2026-01-15,Canal & Sinai,Completed,93.3,34.1,2019,17.6,12,318.1
TRK-CAN-02,2026-01-15,Canal & Sinai,Completed,66.9,21.8,8937,31.5,19,127.4
TRK-UPP-01,2026-01-15,Upper Egypt,Completed,75.9,31.0,5150,27.8,19,163.8
TRK-UPP-02,2026-01-15,Upper Egypt,Completed,81.9,27.1,3724,25.3,9,194.2
TRK-UPP-03,2026-01-15,Upper Egypt,Completed,36.6,13.8,7486,17.3,14,126.9
TRK-COA-01,2026-01-15,Coastal & Red Sea,Completed,90.1,32.7,1837,14.6,13,370.3
TRK-COA-02,2026-01-15,Coastal & Red Sea,Completed,49.3,17.0,5144,16.7,13,177.1
TRK-COA-03,2026-01-15,Coastal & Red Sea,Completed,121.3,42.4,1380,29.2,17,249.2
TRK-GRE-01,2026-01-16,Greater Cairo,Completed,35.7,14.1,3365,22.7,14,94.4
TRK-GRE-02,2026-01-16,Greater Cairo,Completed,78.3,29.9,1892,19.2,14,244.7
TRK-GRE-03,2026-01-16,Greater Cairo,Completed,75.2,29.0,8784,25.2,14,179.0
TRK-GRE-04,2026-01-16,Greater Cairo,Completed,34.4,13.6,9889,19.4,16,106.4
TRK-GRE-05,2026-01-16,Greater Cairo,Completed,87.4,34.5,4210,40.3,22,130.1
TRK-DEL-01,2026-01-16,Delta,Under Maintenance,0.0,0.0,0,0.0,0,0.0
TRK-DEL-02,2026-01-16,Delta,Completed,98.9,33.2,1895,24.4,21,243.2
TRK-DEL-03,2026-01-16,Delta,Completed,38.3,15.2,2511,37.0,20,62.1
TRK-DEL-04,2026-01-16,Delta,Completed,82.8,34.5,2495,21.0,22,236.6
TRK-CAN-01,2026-01-16,Canal & Sinai,Completed,87.9,34.9,3240,26.2,13,201.3
TRK-CAN-02,2026-01-16,Canal & Sinai,Completed,64.5,23.5,7699,25.4,24,152.4
TRK-UPP-01,2026-01-16,Upper Egypt,Fuel Anomaly,30.0,20.6,4510,32.0,16,56.2
TRK-UPP-02,2026-01-16,Upper Egypt,Completed,45.7,15.9,6201,38.6,11,71.0
TRK-UPP-03,2026-01-16,Upper Egypt,Completed,50.3,20.9,4975,22.8,24,132.4
TRK-COA-01,2026-01-16,Coastal & Red Sea,Completed,81.4,33.1,2167,28.3,17,172.6
TRK-COA-02,2026-01-16,Coastal & Red Sea,Completed,69.8,26.9,10993,34.7,12,120.7
TRK-COA-03,2026-01-16,Coastal & Red Sea,Under Maintenance,0.0,0.0,0,0.0,0,0.0
TRK-GRE-01,2026-01-17,Greater Cairo,Completed,55.8,21.9,2504,24.2,19,138.3
TRK-GRE-02,2026-01-17,Greater Cairo,Completed,77.8,28.6,1266,22.4,10,208.4
TRK-GRE-03,2026-01-17,Greater Cairo,Completed,115.0,39.0,10191,30.0,13,230.0
TRK-GRE-04,2026-01-17,Greater Cairo,Completed,62.6,26.0,5882,20.7,10,181.4
TRK-GRE-05,2026-01-17,Greater Cairo,Completed,98.4,34.8,2784,20.8,23,283.8
TRK-DEL-01,2026-01-17,Delta,Completed,53.2,20.6,9405,41.7,16,76.5
TRK-DEL-02,2026-01-17,Delta,Completed,57.6,21.1,1889,38.4,9,90.0
