bin_id,timestamp,fill_level_pct,waste_weight_kg,waste_type,temperature_c,humidity_pct,battery_level_pct,sensor_status,was_collected
BIN-مطر-001-12DF,2026-01-01T09:00:00,9.3,7.78,Organic,15.9,44.1,88.9,OK,False
BIN-مطر-001-12DF,2026-01-01T12:00:00,11.5,9.67,Organic,16.6,66.2,88.9,OK,False
BIN-مطر-001-12DF,2026-01-01T15:00:00,13.2,11.05,Organic,19.6,47.1,88.8,OK,False
BIN-مطر-001-12DF,2026-01-01T18:00:00,16.6,13.94,Organic,16.8,64.4,88.8,OK,False
BIN-مطر-001-12DF,2026-01-01T21:00:00,19.4,16.31,Organic,18.7,56.6,88.7,OK,False
BIN-مطر-002-DC83,2026-01-01T00:00:00,5.9,3.97,Plastic,20.0,64.4,80.5,OK,False
BIN-مطر-002-DC83,2026-01-01T03:00:00,14.4,9.68,Plastic,17.4,45.1,80.4,OK,False
BIN-مطر-002-DC83,2026-01-01T06:00:00,19.3,12.97,Plastic,18.6,61.6,80.4,OK,False
BIN-مطر-002-DC83,2026-01-01T09:00:00,27.7,18.61,Plastic,18.2,46.3,80.3,OK,False
BIN-مطر-002-DC83,2026-01-01T12:00:00,36.4,24.45,Plastic,17.7,47.5,80.3,OK,False
BIN-مطر-002-DC83,2026-01-01T15:00:00,43.0,28.87,Plastic,19.2,61.4,80.2,OK,False
BIN-مطر-002-DC83,2026-01-01T18:00:00,55.4,37.24,Plastic,16.4,52.3,80.2,OK,False
BIN-مطر-002-DC83,2026-01-01T21:00:00,63.8,42.89,Plastic,18.9,53.6,80.1,OK,False
BIN-مطر-003-4B5E,2026-01-01T00:00:00,0.6,1.85,Metal,18.2,53.4,76.4,OK,False
BIN-مطر-003-4B5E,2026-01-01T03:00:00,1.1,3.26,Metal,17.2,37.5,76.4,OK,False
BIN-مطر-003-4B5E,2026-01-01T06:00:00,1.5,4.62,Metal,18.4,63.1,76.3,OK,False
BIN-مطر-003-4B5E,2026-01-01T09:00:00,2.0,6.01,Metal,16.7,44.0,76.3,OK,False
BIN-مطر-003-4B5E,2026-01-01T12:00:00,2.3,7.12,Metal,19.1,55.5,76.2,OK,False
BIN-مطر-003-4B5E,2026-01-01T15:00:00,3.0,9.24,Metal,17.9,62.5,76.2,OK,False
BIN-مطر-003-4B5E,2026-01-01T18:00:00,3.6,11.16,Metal,16.5,61.8,76.2,OK,False
BIN-مطر-003-4B5E,2026-01-01T21:00:00,4.3,13.24,Metal,16.5,50.7,76.1,OK,False
BIN-مطر-004-4660,2026-01-01T00:00:00,0.6,1.86,Glass,15.8,53.6,90.7,OK,False
BIN-مطر-004-4660,2026-01-01T03:00:00,2.0,6.13,Glass,19.1,50.0,90.7,OK,False
BIN-مطر-004-4660,2026-01-01T06:00:00,2.9,8.81,Glass,19.3,60.1,90.6,OK,False
BIN-مطر-004-4660,2026-01-01T09:00:00,3.8,11.72,Glass,19.1,48.4,90.6,OK,False
BIN-مطر-004-4660,2026-01-01T12:00:00,4.9,15.0,Glass,16.1,67.2,90.5,OK,False
BIN-مطر-004-4660,2026-01-01T15:00:00,6.1,18.69,Glass,21.0,67.0,90.5,OK,False
BIN-مطر-004-4660,2026-01-01T18:00:00,7.6,23.32,Glass,14.8,58.1,90.4,OK,False
BIN-مطر-004-4660,2026-01-01T21:00:00,8.4,25.98,Glass,18.5,37.6,90.4,OK,False
BIN-مطر-005-E90A,2026-01-01T00:00:00,9.3,3.91,Organic,16.9,61.5,90.5,OK,False
BIN-مطر-005-E90A,2026-01-01T03:00:00,17.8,7.48,Organic,15.9,68.4,90.5,OK,False
BIN-مطر-005-E90A,2026-01-01T06:00:00,22.6,9.48,Organic,18.3,59.0,90.5,OK,False
BIN-مطر-005-E90A,2026-01-01T09:00:00,27.4,11.49,Organic,17.9,68.8,90.4,OK,False
BIN-مطر-005-E90A,2026-01-01T12:00:00,33.7,14.14,Organic,17.0,59.1,90.3,OK,False
BIN-مطر-005-E90A,2026-01-01T15:00:00,38.8,16.31,Organic,17.1,56.3,90.3,OK,False
BIN-مطر-005-E90A,2026-01-01T18:00:00,43.1,18.12,Organic,16.9,59.7,90.3,OK,False
BIN-مطر-005-E90A,2026-01-01T21:00:00,44.3,18.59,Organic,16.4,68.0,90.2,OK,False
BIN-شما-001-7450,2026-01-01T00:00:00,7.1,4.74,Plastic,17.0,66.5,86.2,OK,False
BIN-شما-001-7450,2026-01-01T03:00:00,9.8,6.58,Plastic,21.3,64.2,86.1,OK,False
BIN-شما-001-7450,2026-01-01T06:00:00,16.0,10.75,Plastic,20.2,38.7,86.1,OK,False
BIN-شما-001-7450,2026-01-01T09:00:00,25.8,17.37,Plastic,18.4,58.3,86.0,OK,False
BIN-شما-001-7450,2026-01-01T12:00:00,32.2,21.63,Plastic,19.6,60.3,86.0,OK,False
BIN-شما-001-7450,2026-01-01T15:00:00,39.5,26.55,Plastic,19.5,79.7,86.0,OK,False
BIN-شما-001-7450,2026-01-01T18:00:00,49.1,32.97,Plastic,19.5,60.8,85.9,OK,False
BIN-شما-001-7450,2026-01-01T21:00:00,58.1,39.03,Plastic,17.9,62.8,85.8,OK,False
BIN-شما-002-DD84,2026-01-01T00:00:00,1.9,3.43,Plastic,18.5,47.0,97.9,OK,False
BIN-شما-002-DD84,2026-01-01T03:00:00,4.2,7.84,Plastic,18.2,57.0,97.9,OK,False
BIN-شما-002-DD84,2026-01-01T06:00:00,6.4,11.9,Plastic,19.6,55.8,97.8,OK,False
BIN-شما-002-DD84,2026-01-01T09:00:00,7.9,14.53,Plastic,18.6,32.4,97.8,OK,False
BIN-شما-002-DD84,2026-01-01T12:00:00,9.4,17.43,Plastic,18.3,60.9,97.8,OK,False
BIN-شما-002-DD84,2026-01-01T15:00:00,10.6,19.65,Plastic,19.8,75.3,97.7,OK,False
BIN-شما-002-DD84,2026-01-01T18:00:00,12.8,23.72,Plastic,19.1,57.1,97.6,OK,False
BIN-شما-002-DD84,2026-01-01T21:00:00,14.9,27.54,Plastic,19.3,64.9,97.6,OK,False
BIN-شما-003-1ADE,2026-01-01T00:00:00,0.3,0.63,Plastic,20.6,48.7,81.6,OK,False
BIN-شما-003-1ADE,2026-01-01T03:00:00,0.6,1.12,Plastic,15.3,57.6,81.5,OK,False
BIN-شما-003-1ADE,2026-01-01T06:00:00,0.9,1.63,Plastic,18.7,51.6,81.5,OK,False
BIN-شما-003-1ADE,2026-01-01T09:00:00,1.3,2.4,Plastic,16.4,37.3,81.5,OK,False
BIN-شما-003-1ADE,2026-01-01T12:00:00,1.6,2.98,Plastic,19.6,51.6,81.4,OK,False
BIN-شما-003-1ADE,2026-01-01T15:00:00,1.9,3.48,Plastic,19.2,77.5,81.4,OK,False
BIN-شما-003-1ADE,2026-01-01T18:00:00,2.2,4.04,Plastic,18.7,49.0,81.4,OK,False
BIN-شما-003-1ADE,2026-01-01T21:00:00,2.4,4.42,Plastic,16.1,45.5,81.3,OK,False
BIN-شما-004-AE45,2026-01-01T00:00:00,0.6,2.24,Organic,18.3,32.7,95.0,OK,False
BIN-شما-004-AE45,2026-01-01T03:00:00,1.0,3.86,Organic,17.6,67.6,95.0,OK,False
BIN-شما-004-AE45,2026-01-01T06:00:00,1.3,4.89,Organic,21.2,60.9,94.9,OK,False
BIN-شما-004-AE45,2026-01-01T09:00:00,1.8,6.77,Organic,18.9,50.7,94.9,OK,False
BIN-شما-004-AE45,2026-01-01T12:00:00,2.1,8.04,Organic,20.1,56.6,94.8,OK,False
BIN-شما-004-AE45,2026-01-01T15:00:00,2.8,10.65,Organic,20.3,43.3,94.8,OK,False
BIN-شما-004-AE45,2026-01-01T18:00:00,3.7,14.15,Organic,19.5,77.5,94.7,OK,False
BIN-شما-004-AE45,2026-01-01T21:00:00,4.3,16.51,Organic,18.2,56.3,94.6,OK,False
BIN-جنو-001-C31F,2026-01-01T00:00:00,1.8,1.52,Organic,18.3,78.1,72.2,OK,False
BIN-جنو-001-C31F,2026-01-01T03:00:00,4.3,3.62,Organic,18.1,68.3,72.2,OK,False
BIN-جنو-001-C31F,2026-01-01T06:00:00,5.7,4.8,Organic,17.9,54.5,72.1,OK,False
BIN-جنو-001-C31F,2026-01-01T09:00:00,6.5,5.5,Organic,19.8,72.5,72.1,OK,False
BIN-جنو-001-C31F,2026-01-01T12:00:00,7.7,6.48,Organic,18.4,64.3,72.0,OK,False
BIN-جنو-001-C31F,2026-01-01T15:00:00,9.3,7.83,Organic,16.6,60.9,72.0,OK,False
BIN-جنو-001-C31F,2026-01-01T18:00:00,11.9,9.96,Organic,20.8,66.2,71.9,OK,False
BIN-جنو-001-C31F,2026-01-01T21:00:00,12.7,10.67,Organic,19.5,39.3,71.9,OK,False
BIN-جنو-002-3794,2026-01-01T00:00:00,0.7,1.29,Plastic,18.7,49.0,92.1,OK,False
BIN-جنو-002-3794,2026-01-01T03:00:00,3.2,5.87,Plastic,20.0,68.0,92.1,OK,False
BIN-جنو-002-3794,2026-01-01T06:00:00,5.6,10.27,Plastic,18.3,40.5,92.0,OK,False
BIN-جنو-002-3794,2026-01-01T09:00:00,6.9,12.84,Plastic,20.9,54.5,92.0,OK,False
BIN-جنو-002-3794,2026-01-01T12:00:00,9.5,17.54,Plastic,19.6,52.1,91.9,OK,False
BIN-جنو-002-3794,2026-01-01T15:00:00,12.2,22.57,Plastic,18.9,74.8,91.8,OK,False
BIN-جنو-002-3794,2026-01-01T18:00:00,14.1,25.99,Plastic,17.1,61.1,91.8,OK,False
BIN-جنو-002-3794,2026-01-01T21:00:00,15.2,28.09,Plastic,19.2,51.3,91.7,OK,False
BIN-جنو-003-66DD,2026-01-01T00:00:00,2.2,1.86,Organic,17.6,55.5,99.7,OK,False
BIN-جنو-003-66DD,2026-01-01T03:00:00,4.3,3.57,Organic,21.1,59.6,99.6,OK,False
BIN-جنو-003-66DD,2026-01-01T06:00:00,5.6,4.71,Organic,21.0,52.8,99.6,OK,False
BIN-جنو-003-66DD,2026-01-01T09:00:00,8.7,7.35,Organic,16.7,66.3,99.5,OK,False
BIN-جنو-003-66DD,2026-01-01T12:00:00,10.8,9.05,Organic,19.0,59.2,99.5,OK,False
BIN-جنو-003-66DD,2026-01-01T15:00:00,12.9,10.86,Organic,17.7,74.3,99.4,OK,False
BIN-جنو-003-66DD,2026-01-01T18:00:00,15.9,13.34,Organic,17.6,40.8,99.3,OK,False
BIN-جنو-003-66DD,2026-01-01T21:00:00,18.8,15.82,Organic,18.3,52.5,99.3,OK,False
BIN-جنو-004-00B0,2026-01-01T00:00:00,2.0,4.54,Organic,18.9,39.9,95.4,OK,False
BIN-جنو-004-00B0,2026-01-01T03:00:00,3.6,8.21,Organic,19.8,40.7,95.3,OK,False
BIN-جنو-004-00B0,2026-01-01T06:00:00,5.5,12.64,Organic,19.9,59.4,95.3,OK,False
BIN-جنو-004-00B0,2026-01-01T09:00:00,7.1,16.42,Organic,19.2,57.2,95.2,OK,False
BIN-جنو-004-00B0,2026-01-01T12:00:00,9.1,20.93,Organic,21.8,55.9,95.2,OK,False
BIN-جنو-004-00B0,2026-01-01T15:00:00,10.7,24.73,Organic,17.2,57.4,95.1,OK,False
BIN-جنو-004-00B0,2026-01-01T18:00:00,12.0,27.66,Organic,20.7,76.6,95.1,OK,False
BIN-جنو-004-00B0,2026-01-01T21:00:00,13.9,32.05,Organic,18.1,48.1,95.0,OK,False
BIN-الأ-001-EAFE,2026-01-01T00:00:00,4.4,1.46,Mixed,16.0,72.5,87.4,OK,False
BIN-الأ-001-EAFE,2026-01-01T03:00:00,7.5,2.52,Mixed,20.3,64.4,87.3,OK,False
BIN-الأ-001-EAFE,2026-01-01T06:00:00,10.5,3.54,Mixed,17.2,49.4,87.3,OK,False
BIN-الأ-001-EAFE,2026-01-01T09:00:00,11.9,4.0,Mixed,17.0,59.2,87.2,OK,False
BIN-الأ-001-EAFE,2026-01-01T12:00:00,14.7,4.95,Mixed,16.8,67.6,87.2,OK,False
BIN-الأ-001-EAFE,2026-01-01T15:00:00,17.7,5.96,Mixed,16.7,69.7,87.1,OK,False
BIN-الأ-001-EAFE,2026-01-01T18:00:00,21.4,7.19,Mixed,17.1,53.5,87.0,OK,False
BIN-الأ-001-EAFE,2026-01-01T21:00:00,24.3,8.16,Mixed,20.1,57.8,87.0,OK,False
BIN-الأ-002-EC2C,2026-01-01T00:00:00,1.6,2.96,Plastic,17.1,51.7,88.7,OK,False
BIN-الأ-002-EC2C,2026-01-01T03:00:00,3.3,6.05,Plastic,20.2,55.6,88.7,OK,False
BIN-الأ-002-EC2C,2026-01-01T06:00:00,7.6,13.97,Plastic,19.2,62.5,88.7,OK,False
BIN-الأ-002-EC2C,2026-01-01T09:00:00,10.9,20.1,Plastic,16.7,55.1,88.6,OK,False
BIN-الأ-002-EC2C,2026-01-01T12:00:00,13.9,25.67,Plastic,18.6,53.0,88.6,OK,False
BIN-الأ-002-EC2C,2026-01-01T15:00:00,15.5,28.59,Plastic,15.5,56.6,88.6,OK,False
BIN-الأ-002-EC2C,2026-01-01T18:00:00,18.9,34.95,Plastic,15.2,38.7,88.5,OK,False
BIN-الأ-002-EC2C,2026-01-01T21:00:00,23.7,43.78,Plastic,17.1,56.0,88.5,OK,False
BIN-الأ-003-032F,2026-01-01T00:00:00,8.8,2.96,Paper,16.5,58.2,80.5,OK,False
BIN-الأ-003-032F,2026-01-01T03:00:00,13.6,4.58,Paper,20.1,63.6,80.5,OK,False
BIN-الأ-003-032F,2026-01-01T06:00:00,21.0,7.05,Paper,20.0,45.5,80.4,OK,False
BIN-الأ-003-032F,2026-01-01T09:00:00,26.9,9.05,Paper,16.3,54.4,80.4,OK,False
BIN-الأ-003-032F,2026-01-01T12:00:00,32.5,10.91,Paper,18.9,52.2,80.3,OK,False
BIN-الأ-003-032F,2026-01-01T15:00:00,39.6,13.31,Paper,17.7,60.6,80.3,OK,False
BIN-الأ-003-032F,2026-01-01T18:00:00,48.7,16.35,Paper,16.9,44.7,80.3,OK,False
BIN-الأ-003-032F,2026-01-01T21:00:00,58.0,19.47,Paper,18.5,55.6,80.2,OK,False
BIN-الأ-004-C425,2026-01-01T00:00:00,11.7,3.93,Paper,20.2,57.7,90.4,OK,False
BIN-الأ-004-C425,2026-01-01T03:00:00,22.6,7.59,Paper,17.0,63.4,90.3,OK,False
BIN-الأ-004-C425,2026-01-01T06:00:00,39.5,13.28,Paper,17.4,49.1,90.3,OK,False
BIN-الأ-004-C425,2026-01-01T09:00:00,52.9,17.78,Paper,15.7,45.9,90.2,OK,False
BIN-الأ-004-C425,2026-01-01T12:00:00,57.4,19.27,Paper,17.5,35.0,90.2,OK,False
BIN-الأ-004-C425,2026-01-01T15:00:00,69.0,23.18,Paper,17.7,47.4,90.1,OK,False
BIN-الأ-004-C425,2026-01-01T18:00:00,77.6,26.08,Paper,17.4,52.6,90.1,OK,False
BIN-الأ-004-C425,2026-01-01T21:00:00,83.3,27.98,Paper,17.4,64.1,90.0,OK,False
BIN-الف-001-88D0,2026-01-01T00:00:00,1.4,1.15,Organic,19.5,60.4,93.0,OK,False
BIN-الف-001-88D0,2026-01-01T03:00:00,2.9,2.4,Organic,16.1,60.0,93.0,OK,False
BIN-الف-001-88D0,2026-01-01T06:00:00,4.2,3.53,Organic,16.7,60.5,92.9,OK,False
BIN-الف-001-88D0,2026-01-01T09:00:00,5.3,4.49,Organic,15.3,43.7,92.9,OK,False
BIN-الف-001-88D0,2026-01-01T12:00:00,7.0,5.86,Organic,17.6,55.5,92.8,OK,False
BIN-الف-001-88D0,2026-01-01T15:00:00,8.8,7.36,Organic,20.4,50.5,92.8,OK,False
BIN-الف-001-88D0,2026-01-01T18:00:00,10.2,8.55,Organic,19.0,35.1,92.7,OK,False
BIN-الف-001-88D0,2026-01-01T21:00:00,11.0,9.22,Organic,17.6,46.0,92.7,OK,False
BIN-الف-002-2C7A,2026-01-01T00:00:00,5.1,3.4,Plastic,16.9,56.9,99.8,OK,False
BIN-الف-002-2C7A,2026-01-01T03:00:00,9.6,6.42,Plastic,17.6,48.7,99.8,OK,False
BIN-الف-002-2C7A,2026-01-01T06:00:00,13.9,9.31,Plastic,17.0,54.2,99.8,OK,False
BIN-الف-002-2C7A,2026-01-01T09:00:00,18.7,12.59,Plastic,19.5,69.8,99.7,OK,False
BIN-الف-002-2C7A,2026-01-01T12:00:00,23.3,15.65,Plastic,17.7,65.3,99.7,OK,False
BIN-الف-002-2C7A,2026-01-01T15:00:00,28.2,18.98,Plastic,16.6,80.7,99.6,OK,False
BIN-الف-002-2C7A,2026-01-01T18:00:00,32.6,21.93,Plastic,18.5,61.9,99.6,OK,False
BIN-الف-002-2C7A,2026-01-01T21:00:00,37.1,24.92,Plastic,16.0,53.9,99.5,OK,False
BIN-الف-003-C9B9,2026-01-01T00:00:00,2.1,6.32,Plastic,18.0,87.9,84.8,OK,False
BIN-الف-003-C9B9,2026-01-01T03:00:00,3.7,11.44,Plastic,17.0,38.8,84.7,OK,False
BIN-الف-003-C9B9,2026-01-01T06:00:00,4.9,15.08,Plastic,16.4,55.1,84.7,OK,False
BIN-الف-003-C9B9,2026-01-01T09:00:00,6.1,18.64,Plastic,19.2,40.8,84.6,OK,False
BIN-الف-003-C9B9,2026-01-01T12:00:00,8.0,24.71,Plastic,18.7,75.0,84.5,OK,False
BIN-الف-003-C9B9,2026-01-01T15:00:00,9.5,29.15,Plastic,16.6,49.1,84.5,OK,False
BIN-الف-003-C9B9,2026-01-01T18:00:00,10.3,31.74,Plastic,17.5,41.5,84.5,OK,False
BIN-الف-003-C9B9,2026-01-01T21:00:00,11.8,36.19,Plastic,17.4,71.9,84.4,OK,False
BIN-الف-004-1D56,2026-01-01T00:00:00,12.2,8.22,Mixed,16.6,50.0,71.8,OK,False
BIN-الف-004-1D56,2026-01-01T03:00:00,20.5,13.75,Mixed,16.0,26.9,71.7,OK,False
BIN-الف-004-1D56,2026-01-01T06:00:00,26.6,17.85,Mixed,16.0,76.5,71.7,OK,False
BIN-الف-004-1D56,2026-01-01T09:00:00,33.8,22.7,Mixed,19.1,36.7,71.6,OK,False
BIN-الف-004-1D56,2026-01-01T12:00:00,42.1,28.29,Mixed,15.7,42.4,71.6,OK,False
BIN-الف-004-1D56,2026-01-01T15:00:00,48.2,32.41,Mixed,21.7,49.3,71.5,OK,False
BIN-الف-004-1D56,2026-01-01T18:00:00,53.6,36.04,Mixed,17.6,47.2,71.5,OK,False
BIN-الف-004-1D56,2026-01-01T21:00:00,63.1,42.43,Mixed,17.6,41.8,71.4,OK,False
BIN-الف-005-BF69,2026-01-01T00:00:00,2.3,1.56,Paper,16.0,37.8,87.9,OK,False
BIN-الف-005-BF69,2026-01-01T03:00:00,4.1,2.76,Paper,18.6,68.2,87.8,OK,False
BIN-الف-005-BF69,2026-01-01T06:00:00,6.7,4.49,Paper,18.8,55.8,87.8,OK,False
BIN-الف-005-BF69,2026-01-01T09:00:00,10.0,6.73,Paper,16.8,63.4,87.7,OK,False
BIN-الف-005-BF69,2026-01-01T12:00:00,13.2,8.86,Paper,15.1,54.3,87.6,OK,False
BIN-الف-005-BF69,2026-01-01T15:00:00,15.5,10.39,Paper,18.0,50.1,87.6,OK,False
BIN-الف-005-BF69,2026-01-01T18:00:00,17.8,11.95,Paper,19.6,47.5,87.5,OK,False
BIN-الف-005-BF69,2026-01-01T21:00:00,19.5,13.12,Paper,18.9,49.5,87.4,OK,False
BIN-الف-006-C457,2026-01-01T00:00:00,0.4,1.4,Organic,17.2,42.6,73.5,OK,False
BIN-الف-006-C457,2026-01-01T03:00:00,0.6,2.39,Organic,20.7,47.0,73.5,OK,False
BIN-الف-006-C457,2026-01-01T06:00:00,1.1,4.4,Organic,19.2,64.3,73.4,OK,False
BIN-الف-006-C457,2026-01-01T09:00:00,1.7,6.44,Organic,16.0,45.3,73.4,OK,False
BIN-الف-006-C457,2026-01-01T12:00:00,2.1,7.94,Organic,19.9,44.1,73.3,OK,False
BIN-الف-006-C457,2026-01-01T15:00:00,2.6,9.95,Organic,17.1,62.2,73.3,OK,False
BIN-الف-006-C457,2026-01-01T18:00:00,3.0,11.42,Organic,17.1,40.0,73.2,OK,False
BIN-الف-006-C457,2026-01-01T21:00:00,3.5,13.42,Organic,21.5,72.2,73.2,OK,False
BIN-الف-007-72B1,2026-01-01T00:00:00,12.5,4.2,Plastic,19.8,59.3,77.2,OK,False
BIN-الف-007-72B1,2026-01-01T03:00:00,27.4,9.21,Plastic,18.4,53.6,77.2,OK,False
BIN-الف-007-72B1,2026-01-01T06:00:00,47.5,15.96,Plastic,18.1,57.3,77.1,OK,False
BIN-الف-007-72B1,2026-01-01T09:00:00,62.8,21.11,Plastic,16.8,43.4,77.0,OK,False
BIN-الف-007-72B1,2026-01-01T12:00:00,74.0,24.86,Plastic,18.4,40.3,77.0,OK,False
BIN-الف-007-72B1,2026-01-01T15:00:00,85.9,28.87,Plastic,17.0,56.9,76.9,OK,False
BIN-الف-007-72B1,2026-01-01T18:00:00,100.0,35.28,Plastic,17.8,56.1,76.9,OK,False
BIN-الف-007-72B1,2026-01-01T21:00:00,100.0,35.28,Plastic,16.7,53.2,76.8,OK,False
BIN-الب-001-49B9,2026-01-01T00:00:00,1.6,4.91,Mixed,18.9,53.8,79.9,OK,False
BIN-الب-001-49B9,2026-01-01T03:00:00,3.7,11.53,Mixed,18.2,65.4,79.8,OK,False
BIN-الب-001-49B9,2026-01-01T06:00:00,6.1,18.71,Mixed,18.0,67.8,79.8,OK,False
BIN-الب-001-49B9,2026-01-01T09:00:00,7.6,23.46,Mixed,18.2,45.1,79.7,OK,False
BIN-الب-001-49B9,2026-01-01T12:00:00,9.5,29.24,Mixed,17.3,53.1,79.7,OK,False
BIN-الب-001-49B9,2026-01-01T15:00:00,11.3,34.87,Mixed,16.4,23.7,79.6,OK,False
BIN-الب-001-49B9,2026-01-01T18:00:00,13.0,39.93,Mixed,19.3,65.3,79.6,OK,False
BIN-الب-001-49B9,2026-01-01T21:00:00,14.9,45.98,Mixed,17.6,45.2,79.5,OK,False
BIN-الب-002-99F1,2026-01-01T00:00:00,7.6,2.55,Plastic,17.7,45.8,91.9,OK,False
BIN-الب-002-99F1,2026-01-01T03:00:00,13.2,4.45,Plastic,18.4,64.8,91.8,OK,False
BIN-الب-002-99F1,2026-01-01T06:00:00,23.2,7.78,Plastic,17.9,45.7,91.8,OK,False
BIN-الب-002-99F1,2026-01-01T09:00:00,36.8,12.36,Plastic,14.0,70.3,91.7,OK,False
BIN-الب-002-99F1,2026-01-01T12:00:00,49.4,16.6,Plastic,18.4,47.3,91.7,OK,False
BIN-الب-002-99F1,2026-01-01T15:00:00,59.6,20.03,Plastic,19.3,66.7,91.6,OK,False
BIN-الب-002-99F1,2026-01-01T18:00:00,66.5,22.35,Plastic,18.7,43.0,91.6,OK,False
BIN-الب-002-99F1,2026-01-01T21:00:00,76.2,25.61,Plastic,19.1,51.3,91.6,OK,False
BIN-الب-003-E352,2026-01-01T00:00:00,2.4,2.03,Organic,18.1,54.1,75.5,OK,False
BIN-الب-003-E352,2026-01-01T03:00:00,4.8,3.99,Organic,17.9,42.9,75.4,OK,False
BIN-الب-003-E352,2026-01-01T06:00:00,8.5,7.13,Organic,17.3,58.4,75.3,OK,False
BIN-الب-003-E352,2026-01-01T09:00:00,11.5,9.67,Organic,17.7,78.9,75.3,OK,False
BIN-الب-003-E352,2026-01-01T12:00:00,14.8,12.45,Organic,19.8,59.5,75.3,OK,False
BIN-الب-003-E352,2026-01-01T15:00:00,17.4,14.59,Organic,18.1,71.1,75.2,OK,False
BIN-الب-003-E352,2026-01-01T18:00:00,21.9,18.37,Organic,15.6,61.4,75.2,OK,False
BIN-الب-003-E352,2026-01-01T21:00:00,23.9,20.09,Organic,15.9,42.7,75.1,OK,False
BIN-الب-004-561D,2026-01-01T00:00:00,2.5,1.68,Mixed,17.7,46.0,74.9,OK,False
BIN-الب-004-561D,2026-01-01T03:00:00,4.0,2.67,Mixed,18.1,29.8,74.9,OK,False
BIN-الب-004-561D,2026-01-01T06:00:00,5.6,3.78,Mixed,15.5,83.3,74.9,OK,False
BIN-الب-004-561D,2026-01-01T09:00:00,7.8,5.22,Mixed,17.0,46.3,74.9,OK,False
BIN-الب-004-561D,2026-01-01T12:00:00,11.3,7.61,Mixed,18.5,43.0,74.8,OK,False
BIN-الب-004-561D,2026-01-01T15:00:00,14.3,9.62,Mixed,15.1,30.5,74.8,OK,False
BIN-الب-004-561D,2026-01-01T18:00:00,16.7,11.22,Mixed,18.4,80.4,74.7,OK,False
BIN-الب-004-561D,2026-01-01T21:00:00,19.8,13.28,Mixed,18.9,68.5,74.7,OK,False
